# Wavelength, Reflectance
1.644356480508060940e+03 6.311887697708528089e-01
1.643490391640873440e+03 6.334367341734516987e-01
1.642625157265873440e+03 6.302800828954658874e-01
1.641760899453373440e+03 6.324874598075289622e-01
1.640897496133060940e+03 6.315438010158745952e-01
1.640035191445560940e+03 6.180807627730989795e-01
1.639173741250248440e+03 6.005328182479430232e-01
1.638313267617435940e+03 6.238396828059433741e-01
1.637453648476810940e+03 6.132831690735948138e-01
1.636595127968998440e+03 6.306006536748657298e-01
1.635737461953373440e+03 6.195940993412375475e-01
1.634880772500248440e+03 6.019695049011497545e-01
1.634025059609623440e+03 6.122035020376941361e-01
1.633170201211185940e+03 6.357328426946070588e-01
1.632316319375248440e+03 6.410046637807732539e-01
1.631463292031498440e+03 6.425442659343950647e-01
1.630611241250248440e+03 6.356217174021476790e-01
1.629760167031498440e+03 6.333967317659436880e-01
1.628909947304935940e+03 6.382589624886310098e-01
1.628060704140873440e+03 6.359754164090168915e-01
1.627212315468998440e+03 6.462851721569377039e-01
1.626364903359623440e+03 6.374075120141960982e-01
1.625518467812748440e+03 6.493743726275721384e-01
1.624673008828373440e+03 6.477404192474642830e-01
1.623828282265873440e+03 6.491639606913079952e-01
1.622984654336185940e+03 6.451193183928611852e-01
1.622141758828373440e+03 6.398077235044394850e-01
1.621299961953373440e+03 6.376574775193799560e-01
1.620458897500248440e+03 6.350933818150060750e-01
1.619618931679935940e+03 6.264997547418390544e-01
1.618779698281498440e+03 6.160207996761650762e-01
1.617941441445560940e+03 6.130209248617196627e-01
1.617104039101810940e+03 5.964847566567617054e-01
1.616267613320560940e+03 6.018511856378712110e-01
1.615432042031498440e+03 6.004753465305323612e-01
1.614597447304935940e+03 5.945068967739228771e-01
1.613763829140873440e+03 5.781925578436869495e-01
1.612930943398685940e+03 5.530116419163478847e-01
1.612099034218998440e+03 5.084417372176468497e-01
1.611267979531498440e+03 4.602333492474427468e-01
1.610437901406498440e+03 3.535145812400570797e-01
1.609608677773685940e+03 2.850610719286255645e-01
1.608780308633060940e+03 3.345026246522600499e-01
1.607952916054935940e+03 4.189865316547476404e-01
1.607126255898685940e+03 4.819878365138804410e-01
1.606300572304935940e+03 5.284543437137712019e-01
1.605475865273685940e+03 5.555126655010765857e-01
1.604652012734623440e+03 5.547419346946207419e-01
1.603828892617435940e+03 5.033883603556118524e-01
1.603006749062748440e+03 5.339361882126408831e-01
1.602185582070560940e+03 5.489597699507895445e-01
1.601365147500248440e+03 5.658755889789282012e-01
1.600545689492435940e+03 5.947828885956524259e-01
1.599727085976810940e+03 5.907980635954267479e-01
1.598909336953373440e+03 6.000078293220083570e-01
1.598092442422123440e+03 5.977793325546200132e-01
1.597276280312748440e+03 5.878169296881154970e-01
1.596461460976810940e+03 5.822738979512788182e-01
1.595647129922123440e+03 5.654893547397920051e-01
1.594833653359623440e+03 5.278791904905090204e-01
1.594021275429935940e+03 5.200530954438343789e-01
1.593209507851810940e+03 5.237885224695587594e-01
1.592398716836185940e+03 5.161011619927204919e-01
1.591588902383060940e+03 5.165291221052871196e-01
