# Wavelength, Reflectance
1.644513099639402753e+03 5.198443410478332805e-01
1.643647010772215253e+03 5.280427083153957923e-01
1.642781776397215253e+03 5.129672585755612468e-01
1.641917518584715253e+03 5.236458253151943243e-01
1.641054115264402753e+03 5.149182720730994811e-01
1.640191810576902753e+03 5.187165807619091851e-01
1.639330360381590253e+03 5.193631604926526313e-01
1.638469886748777753e+03 5.096597716478105111e-01
1.637610267608152753e+03 5.139309269448035788e-01
1.636751747100340253e+03 5.098504111394014382e-01
1.635894081084715253e+03 5.089597617376134808e-01
1.635037391631590253e+03 5.013365069604203139e-01
1.634181678740965253e+03 4.923790610129200052e-01
1.633326820342527753e+03 4.923056608468147077e-01
1.632472938506590253e+03 4.842627597406214957e-01
1.631619911162840253e+03 4.794509156124580063e-01
1.630767860381590253e+03 4.768846646826018776e-01
1.629916786162840253e+03 4.636543682045899950e-01
1.629066566436277753e+03 4.642216300905309678e-01
1.628217323272215253e+03 4.676439556232939720e-01
1.627368934600340253e+03 4.602773602510184525e-01
1.626521522490965253e+03 4.622590863248482451e-01
1.625675086944090253e+03 4.677443864107129756e-01
1.624829627959715253e+03 4.637969734100775288e-01
1.623984901397215253e+03 4.610382085222249904e-01
1.623141273467527753e+03 4.594449001139870870e-01
1.622298377959715253e+03 4.613169731933253193e-01
1.621456581084715253e+03 4.543868876572871862e-01
1.620615516631590253e+03 4.608854303306456068e-01
1.619775550811277753e+03 4.474106379107891107e-01
1.618936317412840253e+03 4.507316444904116426e-01
1.618098060576902753e+03 4.482697950729032654e-01
1.617260658233152753e+03 4.461069558884642738e-01
1.616424232451902753e+03 4.495555709055432114e-01
1.615588661162840253e+03 4.434813700730818042e-01
1.614754066436277753e+03 4.519002963570113995e-01
1.613920448272215253e+03 4.468848043465736275e-01
1.613087562530027753e+03 4.469940742538729417e-01
1.612255653350340253e+03 4.505091232520195832e-01
1.611424598662840253e+03 4.530380153548719258e-01
1.610594520537840253e+03 4.501517683094240496e-01
1.609765296905027753e+03 4.425603304893132584e-01
1.608936927764402753e+03 4.498801496907142705e-01
1.608109535186277753e+03 4.495193677561198919e-01
1.607282875030027753e+03 4.399982305794832294e-01
1.606457191436277753e+03 4.443730705959798022e-01
1.605632484405027753e+03 4.500827642112492089e-01
1.604808631865965253e+03 4.467650445484758204e-01
1.603985511748777753e+03 4.412815944346373254e-01
1.603163368194090253e+03 4.435665609790512831e-01
1.602342201201902753e+03 4.447716563476306062e-01
1.601521766631590253e+03 4.449383271946433793e-01
1.600702308623777753e+03 4.364091687517055451e-01
1.599883705108152753e+03 4.410798288976574000e-01
1.599065956084715253e+03 4.411063951340176148e-01
1.598249061553465253e+03 4.348815823986317830e-01
1.597432899444090253e+03 4.472223611665840926e-01
1.596618080108152753e+03 4.367162738587213600e-01
1.595803749053465253e+03 4.328460550104938909e-01
1.594990272490965253e+03 4.318845944320009456e-01
1.594177894561277753e+03 4.359873558437681318e-01
1.593366126983152753e+03 4.400578143598330993e-01
1.592555335967527753e+03 4.377830052617045498e-01
1.591745521514402753e+03 4.368421316541779009e-01
1.590936439483152753e+03 4.410724196837401689e-01
1.590128334014402753e+03 4.390555640411351046e-01
1.589320838897215253e+03 4.302329325148454009e-01
1.588514198272215253e+03 4.272190159525649511e-01
1.587708778350340253e+03 4.367900964693350874e-01
1.586903968780027753e+03 4.329416973880134134e-01
1.586100013701902753e+03 4.377228072047406049e-01
1.585297035186277753e+03 4.335775942571701846e-01
1.584494789092527753e+03 4.408648831391050460e-01
1.583693397490965253e+03 4.312038313681296753e-01
1.582892982451902753e+03 4.413359929177584906e-01
1.582093299834715253e+03 4.311428994851343455e-01
1.581294593780027753e+03 4.429824579535636686e-01
1.580496498076902753e+03 4.413760104601949785e-01
1.579699256865965253e+03 4.440201689275146690e-01
1.578903114287840253e+03 4.451076368983174492e-01
1.578107582061277753e+03 4.506439339274514455e-01
1.577313026397215253e+03 4.421845735236372144e-01
1.576519325225340253e+03 4.360719202819748896e-01
1.575726356475340253e+03 4.469593404016379834e-01
1.574934120147215253e+03 4.407795715238504997e-01
1.574142860381590253e+03 4.348319948097235654e-01
1.573352455108152753e+03 4.439792505504064901e-01
1.572562904326902753e+03 4.408315986372795536e-01
1.571774085967527753e+03 4.407754540078080985e-01
1.570986000030027753e+03 4.415246799689208079e-01
1.570199012725340253e+03 4.430701993974570096e-01
1.569412635772215253e+03 4.311288003857129958e-01
1.568627357451902753e+03 4.370551516578626283e-01
1.567842567412840253e+03 4.346727942294227320e-01
1.567058753936277753e+03 4.317147670834371453e-01
1.566275794951902753e+03 4.294377875483990081e-01
1.565493568389402753e+03 4.325709177053785326e-01
1.564712196319090253e+03 4.333329822925401920e-01
1.563931678740965253e+03 4.330157990766871356e-01
1.563152015655027753e+03 4.311228547265551492e-01
1.562372962920652753e+03 4.311453985925698396e-01
1.561594886748777753e+03 4.323146275338898836e-01
1.560817665069090253e+03 4.308317224069103113e-01
