# Wavelength, Reflectance
1.644599351450104223e+03 5.601776589297676745e-01
1.643733262582916723e+03 5.879637722563436641e-01
1.642868028207916723e+03 5.748844356180485837e-01
1.642003770395416723e+03 5.713210713723883005e-01
1.641140367075104223e+03 5.643426615514529621e-01
1.640278062387604223e+03 5.599223801541191037e-01
1.639416612192291723e+03 5.603579643588517678e-01
1.638556138559479223e+03 5.473509270552638917e-01
1.637696519418854223e+03 5.594278045776459596e-01
1.636837998911041723e+03 5.508925109416713539e-01
1.635980332895416723e+03 5.382861916283175896e-01
1.635123643442291723e+03 5.322953937104457633e-01
1.634267930551666723e+03 5.385212383012548676e-01
1.633413072153229223e+03 5.272229738566528434e-01
1.632559190317291723e+03 5.103571062207403752e-01
1.631706162973541723e+03 5.091449861808532429e-01
1.630854112192291723e+03 5.112263113673172210e-01
1.630003037973541723e+03 4.982319715787210668e-01
1.629152818246979223e+03 4.908451753133930562e-01
1.628303575082916723e+03 4.962041548385228151e-01
1.627455186411041723e+03 4.926233296358209501e-01
1.626607774301666723e+03 4.977965991021685022e-01
1.625761338754791723e+03 4.972359809327846492e-01
1.624915879770416723e+03 4.882918835854982986e-01
1.624071153207916723e+03 4.911429112257938989e-01
1.623227525278229223e+03 4.889717520612466006e-01
1.622384629770416723e+03 4.889664249485970449e-01
1.621542832895416723e+03 4.907824141435289667e-01
1.620701768442291723e+03 4.885917368351886947e-01
1.619861802621979223e+03 4.866582973337177376e-01
1.619022569223541723e+03 4.877967778517650066e-01
1.618184312387604223e+03 4.778131488912157332e-01
1.617346910043854223e+03 4.829245494865656019e-01
1.616510484262604223e+03 4.720469689256769352e-01
1.615674912973541723e+03 4.700563088305712012e-01
1.614840318246979223e+03 4.744849087064714754e-01
1.614006700082916723e+03 4.747851108826969813e-01
1.613173814340729223e+03 4.782638652354320175e-01
1.612341905161041723e+03 4.760735339530918764e-01
1.611510850473541723e+03 4.808016160940913331e-01
1.610680772348541723e+03 4.769021942766261124e-01
1.609851548715729223e+03 4.713464757806551386e-01
1.609023179575104223e+03 4.728958089600765469e-01
1.608195786996979223e+03 4.734016870051225290e-01
1.607369126840729223e+03 4.685752048960818983e-01
1.606543443246979223e+03 4.636307806182305424e-01
1.605718736215729223e+03 4.811680035384465204e-01
1.604894883676666723e+03 4.749720546018940115e-01
1.604071763559479223e+03 4.685946388444532928e-01
1.603249620004791723e+03 4.719565151828005178e-01
1.602428453012604223e+03 4.658362225475138341e-01
1.601608018442291723e+03 4.576834883984400304e-01
1.600788560434479223e+03 4.625670586776855497e-01
1.599969956918854223e+03 4.686077582728077617e-01
1.599152207895416723e+03 4.654472136265997984e-01
1.598335313364166723e+03 4.641512957261585415e-01
1.597519151254791723e+03 4.681574696742741848e-01
1.596704331918854223e+03 4.642895297096228391e-01
1.595890000864166723e+03 4.597518030795718080e-01
1.595076524301666723e+03 4.539877541860194987e-01
1.594264146371979223e+03 4.587645760543000995e-01
1.593452378793854223e+03 4.649788764169626165e-01
1.592641587778229223e+03 4.690355870444685160e-01
1.591831773325104223e+03 4.703617414044705680e-01
1.591022691293854223e+03 4.623454632584598212e-01
1.590214585825104223e+03 4.680856923302190165e-01
1.589407090707916723e+03 4.537991932600771716e-01
1.588600450082916723e+03 4.600922784378389530e-01
1.587795030161041723e+03 4.615504657350743001e-01
1.586990220590729223e+03 4.552793992947434254e-01
1.586186265512604223e+03 4.619310661307051147e-01
1.585383286996979223e+03 4.609095855711952683e-01
1.584581040903229223e+03 4.709996592724214892e-01
1.583779649301666723e+03 4.581531463231151569e-01
1.582979234262604223e+03 4.690628044764486582e-01
1.582179551645416723e+03 4.583787509584897335e-01
1.581380845590729223e+03 4.678699174099333891e-01
1.580582749887604223e+03 4.644234058869329274e-01
1.579785508676666723e+03 4.655110710505827032e-01
1.578989366098541723e+03 4.663634711458961024e-01
1.578193833871979223e+03 4.744281215588036504e-01
1.577399278207916723e+03 4.632293418511584382e-01
1.576605577036041723e+03 4.580237474539656795e-01
1.575812608286041723e+03 4.766986928965845083e-01
1.575020371957916723e+03 4.665209975772617312e-01
1.574229112192291723e+03 4.629399206831343871e-01
1.573438706918854223e+03 4.593462987387240126e-01
1.572649156137604223e+03 4.632839564194985993e-01
1.571860337778229223e+03 4.620083566503460637e-01
1.571072251840729223e+03 4.630008110844986979e-01
1.570285264536041723e+03 4.657286546135027683e-01
1.569498887582916723e+03 4.583189968315543594e-01
1.568713609262604223e+03 4.594433601390673361e-01
1.567928819223541723e+03 4.590847212769068597e-01
1.567145005746979223e+03 4.581686043239162065e-01
1.566362046762604223e+03 4.582884885501053440e-01
1.565579820200104223e+03 4.628611972687020626e-01
