# Wavelength, Reflectance
1.644661406857300108e+03 1.613468638917533726e-01
1.643795317990112608e+03 1.382012675377739808e-01
1.642930083615112608e+03 1.140726464319144901e-01
1.642065825802612608e+03 1.312839522299897865e-01
1.641202422482300108e+03 1.530799430090849789e-01
1.640340117794800108e+03 1.565043060535065145e-01
1.639478667599487608e+03 1.456911602398084649e-01
1.638618193966675108e+03 1.656509369441799551e-01
1.637758574826050108e+03 1.583728820342558408e-01
1.636900054318237608e+03 1.538149294774746878e-01
1.636042388302612608e+03 1.720132216612957343e-01
1.635185698849487608e+03 1.584340195373525884e-01
1.634329985958862608e+03 1.327104393982941333e-01
1.633475127560425108e+03 1.667812536523659017e-01
1.632621245724487608e+03 1.649417027723498186e-01
1.631768218380737608e+03 1.697629648258637269e-01
1.630916167599487608e+03 1.670469185410933532e-01
1.630065093380737608e+03 1.466469841527278939e-01
1.629214873654175108e+03 1.701976177481194785e-01
1.628365630490112608e+03 1.588400772422475515e-01
1.627517241818237608e+03 1.638180624334804047e-01
1.626669829708862608e+03 1.868689641113936706e-01
1.625823394161987608e+03 1.650685128952285308e-01
1.624977935177612608e+03 1.655783226079181880e-01
1.624133208615112608e+03 1.670198744729791962e-01
1.623289580685425108e+03 1.738970593211608962e-01
1.622446685177612608e+03 1.755238750852157192e-01
1.621604888302612608e+03 1.615175751281108796e-01
1.620763823849487608e+03 1.618935355219785210e-01
1.619923858029175108e+03 1.585287684143046327e-01
1.619084624630737608e+03 1.634469857808142912e-01
1.618246367794800108e+03 1.727375295972883307e-01
1.617408965451050108e+03 1.656465179505876850e-01
1.616572539669800108e+03 1.770559183492545485e-01
1.615736968380737608e+03 1.798751658783180607e-01
1.614902373654175108e+03 1.508731892156905396e-01
1.614068755490112608e+03 1.663371500860382768e-01
1.613235869747925108e+03 1.664704493201260849e-01
1.612403960568237608e+03 1.637962086824603092e-01
1.611572905880737608e+03 1.664720464164921865e-01
1.610742827755737608e+03 1.528956701437569898e-01
1.609913604122925108e+03 1.765216866406547902e-01
1.609085234982300108e+03 1.753762984228814659e-01
1.608257842404175108e+03 1.602857963301292377e-01
1.607431182247925108e+03 1.690538658216066414e-01
1.606605498654175108e+03 1.574705492942430618e-01
1.605780791622925108e+03 1.624952614194920819e-01
1.604956939083862608e+03 1.562718742813620776e-01
1.604133818966675108e+03 1.679484045833828654e-01
1.603311675411987608e+03 1.482512555129774645e-01
1.602490508419800108e+03 1.562086609752082744e-01
1.601670073849487608e+03 1.622604288232687431e-01
1.600850615841675108e+03 1.641745267255911300e-01
1.600032012326050108e+03 1.673262959437056552e-01
1.599214263302612608e+03 1.612389615777831964e-01
1.598397368771362608e+03 1.733163311896679659e-01
1.597581206661987608e+03 1.594112026187785580e-01
1.596766387326050108e+03 1.739339344898088169e-01
1.595952056271362608e+03 1.665440675569889450e-01
1.595138579708862608e+03 1.660380794015282602e-01
1.594326201779175108e+03 1.662655460706317367e-01
1.593514434201050108e+03 1.527201182671298896e-01
1.592703643185425108e+03 1.559294283686804283e-01
1.591893828732300108e+03 1.677906434793324797e-01
1.591084746701050108e+03 1.636701970356083113e-01
1.590276641232300108e+03 1.642120962799425987e-01
1.589469146115112608e+03 1.571001313173601421e-01
1.588662505490112608e+03 1.582016566355424758e-01
1.587857085568237608e+03 1.494749384397864311e-01
1.587052275997925108e+03 1.636326572566479676e-01
1.586248320919800108e+03 1.627401485553055527e-01
1.585445342404175108e+03 1.547459642904596977e-01
1.584643096310425108e+03 1.477986536462191358e-01
1.583841704708862608e+03 1.513051391666882239e-01
1.583041289669800108e+03 1.605662455648345088e-01
1.582241607052612608e+03 1.513003935352961460e-01
1.581442900997925108e+03 1.685875338802293455e-01
1.580644805294800108e+03 1.599839051863349293e-01
1.579847564083862608e+03 1.727160192955234375e-01
1.579051421505737608e+03 1.772919558084255498e-01
1.578255889279175108e+03 1.417015220165469269e-01
1.577461333615112608e+03 1.578713050741284984e-01
1.576667632443237608e+03 1.590677555297614898e-01
1.575874663693237608e+03 1.502212568309510554e-01
1.575082427365112608e+03 1.614783725778828061e-01
1.574291167599487608e+03 1.602518088233487459e-01
1.573500762326050108e+03 1.640415078135071814e-01
1.572711211544800108e+03 1.530630528418033265e-01
1.571922393185425108e+03 1.693714186400361588e-01
1.571134307247925108e+03 1.565837025584404796e-01
1.570347319943237608e+03 1.666468752187804936e-01
1.569560942990112608e+03 1.617339270644582161e-01
1.568775664669800108e+03 1.682491617926224758e-01
1.567990874630737608e+03 1.686069296964095021e-01
1.567207061154175108e+03 1.658057933677249129e-01
