# Wavelength, Reflectance
1.644617634961733074e+03 2.974858307334105056e-01
1.643751546094545574e+03 3.154541151053393278e-01
1.642886311719545574e+03 3.055726896500662870e-01
1.642022053907045574e+03 3.145882947282114261e-01
1.641158650586733074e+03 2.946273766408658568e-01
1.640296345899233074e+03 2.296650934551148771e-01
1.639434895703920574e+03 3.364884622573853790e-01
1.638574422071108074e+03 3.120180858386154554e-01
1.637714802930483074e+03 2.865114890846351403e-01
1.636856282422670574e+03 2.915276517411631851e-01
1.635998616407045574e+03 2.971567400450120799e-01
1.635141926953920574e+03 3.060880654368280385e-01
1.634286214063295574e+03 2.857354915384407446e-01
1.633431355664858074e+03 2.361477398678978878e-01
1.632577473828920574e+03 3.058624494083712064e-01
1.631724446485170574e+03 2.804613951797881310e-01
1.630872395703920574e+03 2.753094672253018627e-01
1.630021321485170574e+03 2.669856913313169988e-01
1.629171101758608074e+03 2.682591147100211182e-01
1.628321858594545574e+03 2.558844587883062349e-01
1.627473469922670574e+03 2.757119146855029901e-01
1.626626057813295574e+03 2.747780362961410594e-01
1.625779622266420574e+03 2.968168983724624455e-01
1.624934163282045574e+03 2.762207657377639958e-01
1.624089436719545574e+03 2.639274949643042878e-01
1.623245808789858074e+03 2.649409517266803071e-01
1.622402913282045574e+03 2.718782582845827300e-01
1.621561116407045574e+03 2.849939880158834371e-01
1.620720051953920574e+03 2.715835283557506141e-01
1.619880086133608074e+03 2.590551848045066219e-01
1.619040852735170574e+03 2.483261163465885490e-01
1.618202595899233074e+03 2.509463856226740730e-01
1.617365193555483074e+03 2.531848605046377321e-01
1.616528767774233074e+03 2.480949646901464689e-01
1.615693196485170574e+03 2.610802931516575387e-01
1.614858601758608074e+03 2.443851909590875615e-01
1.614024983594545574e+03 2.502142780890929674e-01
1.613192097852358074e+03 2.560798484208058334e-01
1.612360188672670574e+03 2.572709773300089764e-01
1.611529133985170574e+03 2.515741271406990442e-01
1.610699055860170574e+03 2.544398471012845886e-01
1.609869832227358074e+03 2.531142990310600860e-01
1.609041463086733074e+03 2.444598225924804469e-01
1.608214070508608074e+03 2.263894731691847018e-01
1.607387410352358074e+03 2.631727341655842323e-01
1.606561726758608074e+03 2.439207291096758823e-01
1.605737019727358074e+03 2.379307171816327504e-01
1.604913167188295574e+03 2.501801613925366818e-01
1.604090047071108074e+03 2.441867326115023662e-01
1.603267903516420574e+03 2.437556660987229840e-01
1.602446736524233074e+03 2.618922988091295090e-01
1.601626301953920574e+03 2.498414879407392375e-01
1.600806843946108074e+03 2.585551320676881537e-01
1.599988240430483074e+03 2.650600058960782546e-01
1.599170491407045574e+03 2.544176530846780637e-01
1.598353596875795574e+03 2.491498228511052904e-01
1.597537434766420574e+03 2.571023005277542905e-01
1.596722615430483074e+03 2.436090506511435216e-01
1.595908284375795574e+03 2.556841517905016903e-01
1.595094807813295574e+03 2.606963688364638543e-01
1.594282429883608074e+03 2.771826865432171494e-01
1.593470662305483074e+03 2.462522712755106924e-01
1.592659871289858074e+03 2.602620534845679900e-01
1.591850056836733074e+03 2.522336441256919914e-01
1.591040974805483074e+03 2.638741770659452368e-01
1.590232869336733074e+03 2.522119289483564786e-01
1.589425374219545574e+03 2.694824499185686784e-01
1.588618733594545574e+03 2.588598144112748134e-01
1.587813313672670574e+03 2.468160569450443265e-01
1.587008504102358074e+03 2.612781082364851182e-01
1.586204549024233074e+03 2.932739773508669101e-01
1.585401570508608074e+03 2.687994554570432570e-01
1.584599324414858074e+03 2.689814021692922830e-01
1.583797932813295574e+03 2.463093991472166677e-01
1.582997517774233074e+03 2.702372089401871014e-01
1.582197835157045574e+03 2.499449028416932395e-01
1.581399129102358074e+03 2.367551970909396175e-01
1.580601033399233074e+03 2.603876091539755744e-01
1.579803792188295574e+03 2.416453308031009106e-01
1.579007649610170574e+03 2.577066932981130210e-01
1.578212117383608074e+03 2.403791465443411712e-01
1.577417561719545574e+03 2.203306447708606175e-01
1.576623860547670574e+03 2.561125236962287222e-01
1.575830891797670574e+03 2.649732062961702717e-01
1.575038655469545574e+03 2.565129504106488656e-01
1.574247395703920574e+03 2.498440706669672606e-01
1.573456990430483074e+03 2.573131945326733172e-01
1.572667439649233074e+03 2.533873383490325426e-01
1.571878621289858074e+03 2.435147662814870217e-01
1.571090535352358074e+03 2.642039538232091034e-01
1.570303548047670574e+03 2.644561376689053556e-01
1.569517171094545574e+03 2.425589938443190041e-01
1.568731892774233074e+03 2.393187283432351431e-01
1.567947102735170574e+03 2.608011738698602922e-01
