# Wavelength, Reflectance
1.644586555401935129e+03 2.940027239273476645e-01
1.643720466534747629e+03 2.689889293477621957e-01
1.642855232159747629e+03 2.917876747021446726e-01
1.641990974347247629e+03 2.991584027944325097e-01
1.641127571026935129e+03 3.067112647119729640e-01
1.640265266339435129e+03 3.346038722327856485e-01
1.639403816144122629e+03 3.263483239468800146e-01
1.638543342511310129e+03 3.210707630280006386e-01
1.637683723370685129e+03 2.375320454668103098e-01
1.636825202862872629e+03 2.738214337364425766e-01
1.635967536847247629e+03 3.204777252294515599e-01
1.635110847394122629e+03 2.958930195231079807e-01
1.634255134503497629e+03 3.052902017217943298e-01
1.633400276105060129e+03 2.690309946557062903e-01
1.632546394269122629e+03 2.894962517243154787e-01
1.631693366925372629e+03 2.724165047701452846e-01
1.630841316144122629e+03 2.681424143602955112e-01
1.629990241925372629e+03 2.808016122983906793e-01
1.629140022198810129e+03 2.443515252139700777e-01
1.628290779034747629e+03 2.631950445076929879e-01
1.627442390362872629e+03 2.471417527364298261e-01
1.626594978253497629e+03 2.526162657863504912e-01
1.625748542706622629e+03 2.867515560169053845e-01
1.624903083722247629e+03 2.712909176073763917e-01
1.624058357159747629e+03 2.686227011343179649e-01
1.623214729230060129e+03 3.129535631654609684e-01
1.622371833722247629e+03 3.049479407992419788e-01
1.621530036847247629e+03 2.722438013414130720e-01
1.620688972394122629e+03 2.516189119191313828e-01
1.619849006573810129e+03 2.671832398531017727e-01
1.619009773175372629e+03 2.523447936631256772e-01
1.618171516339435129e+03 2.455519249719335662e-01
1.617334113995685129e+03 2.582464466102034617e-01
1.616497688214435129e+03 2.504002094748826734e-01
1.615662116925372629e+03 2.387937562395348878e-01
1.614827522198810129e+03 2.305154598221975937e-01
1.613993904034747629e+03 2.371759230394991647e-01
1.613161018292560129e+03 2.410192470194360004e-01
1.612329109112872629e+03 2.773234020864715488e-01
1.611498054425372629e+03 2.436390706019573860e-01
1.610667976300372629e+03 2.307020033363762213e-01
1.609838752667560129e+03 2.704085490455451213e-01
1.609010383526935129e+03 2.341304957963522837e-01
1.608182990948810129e+03 2.230690963785061931e-01
1.607356330792560129e+03 2.448629672149092440e-01
1.606530647198810129e+03 2.656999450979045108e-01
1.605705940167560129e+03 2.245993367698432830e-01
1.604882087628497629e+03 2.469723672685145144e-01
1.604058967511310129e+03 2.718237224558333054e-01
1.603236823956622629e+03 2.596354367229281035e-01
1.602415656964435129e+03 2.453092054578346892e-01
1.601595222394122629e+03 2.493576692767827396e-01
1.600775764386310129e+03 2.399312862851884776e-01
1.599957160870685129e+03 2.354746878772461804e-01
1.599139411847247629e+03 2.562540787168148260e-01
1.598322517315997629e+03 2.437990483708066258e-01
1.597506355206622629e+03 2.507585400215725513e-01
1.596691535870685129e+03 2.676261116803057005e-01
1.595877204815997629e+03 2.612128367751238578e-01
1.595063728253497629e+03 2.715895542248579209e-01
1.594251350323810129e+03 2.746864580192792671e-01
1.593439582745685129e+03 2.353573804836144867e-01
1.592628791730060129e+03 2.350910904082192387e-01
1.591818977276935129e+03 2.781425857212851405e-01
1.591009895245685129e+03 2.563177567495245057e-01
1.590201789776935129e+03 2.439586083937303473e-01
1.589394294659747629e+03 2.499238020525723358e-01
1.588587654034747629e+03 2.615748306783521882e-01
1.587782234112872629e+03 2.663240908176763289e-01
1.586977424542560129e+03 2.536875631458094804e-01
1.586173469464435129e+03 2.579151795847665074e-01
1.585370490948810129e+03 2.495898487160232992e-01
1.584568244855060129e+03 2.484398056937745791e-01
1.583766853253497629e+03 2.460983168389866416e-01
1.582966438214435129e+03 2.573459657431907965e-01
1.582166755597247629e+03 2.744408598758039108e-01
1.581368049542560129e+03 2.301499557327140455e-01
1.580569953839435129e+03 2.413221756473145352e-01
1.579772712628497629e+03 2.516572331533178386e-01
1.578976570050372629e+03 2.500997799131818855e-01
1.578181037823810129e+03 2.600253412343155879e-01
1.577386482159747629e+03 2.399608211084737486e-01
1.576592780987872629e+03 2.596106091031403218e-01
1.575799812237872629e+03 2.212000854790108217e-01
1.575007575909747629e+03 2.489279101779240111e-01
1.574216316144122629e+03 2.471419163391118945e-01
1.573425910870685129e+03 2.397773455698478662e-01
1.572636360089435129e+03 2.358353996567668642e-01
1.571847541730060129e+03 2.588089925861796758e-01
1.571059455792560129e+03 2.529641580464456196e-01
1.570272468487872629e+03 2.564468378592315578e-01
1.569486091534747629e+03 2.467866793182948437e-01
1.568700813214435129e+03 2.455897910938866224e-01
1.567916023175372629e+03 2.361298750429623727e-01
1.567132209698810129e+03 2.371610176459622576e-01
1.566349250714435129e+03 2.637618940323562255e-01
1.565567024151935129e+03 2.485912610312487614e-01
1.564785652081622629e+03 2.450898978324142219e-01
1.564005134503497629e+03 2.487481519813959929e-01
1.563225471417560129e+03 2.681788628404922492e-01
1.562446418683185129e+03 2.317893774444780841e-01
1.561668342511310129e+03 2.620170383832070016e-01
1.560891120831622629e+03 2.411347305820791820e-01
1.560114631573810129e+03 2.406062712941753612e-01
1.559338874737872629e+03 2.539993714144046510e-01
1.558563972394122629e+03 2.612534927797301454e-01
1.557790046612872629e+03 2.278665978632272160e-01
1.557016731183185129e+03 2.508391772950180898e-01
1.556244270245685129e+03 2.408893127904125631e-01
1.555472541730060129e+03 2.448119057902903850e-01
1.554701789776935129e+03 2.471227427736839288e-01
1.553931648175372629e+03 2.405724182263459798e-01
1.553162483136310129e+03 2.611825840891010553e-01
1.553162361065997629e+03 2.546937511201101678e-01
1.552906257550372629e+03 3.047616101142754386e-01
1.552650031964435129e+03 2.852492653342326712e-01
1.552394050519122629e+03 2.689897380037922781e-01
1.552393928448810129e+03 2.544245783562200658e-01
1.552138069073810129e+03 2.541515510826551361e-01
1.551626350323810129e+03 2.421572822429012561e-01
1.550859504620685129e+03 2.656782608898597964e-01
1.550093391339435129e+03 2.424639395638606421e-01
1.549328132550372629e+03 2.630052623551553670e-01
1.548563728253497629e+03 2.662662911926355069e-01
1.547799934308185129e+03 2.332832171465608340e-01
1.547036994855060129e+03 2.581217820976160482e-01
1.546274909894122629e+03 2.407464232153418149e-01
1.545513679425372629e+03 2.590059688326138976e-01
1.544753059308185129e+03 2.588730919121323137e-01
1.543993171612872629e+03 2.609113839933758783e-01
1.543234260480060129e+03 2.520633951393554950e-01
1.542476203839435129e+03 2.459646624103287438e-01
1.541718757550372629e+03 2.584938080605441169e-01
1.540962043683185129e+03 2.584263612894840412e-01
1.540206184308185129e+03 2.596888606523218845e-01
1.539451057355060129e+03 2.492568312278250764e-01
1.538696906964435129e+03 2.254714194187097120e-01
1.537943366925372629e+03 2.309813926915814386e-01
1.537190559308185129e+03 2.417988464597667919e-01
1.536438606183185129e+03 2.414846095649353930e-01
1.535687141339435129e+03 2.318744495988706300e-01
1.534937019269122629e+03 2.392567709645825325e-01
1.534187141339435129e+03 2.567860503614837753e-01
1.533438362042560129e+03 2.500093789542545131e-01
1.532690193097247629e+03 2.535432571857576534e-01
1.531942756573810129e+03 2.332723899520925681e-01
1.531196296612872629e+03 2.498734842938483691e-01
1.530450447003497629e+03 2.561608817726121479e-01
1.529705329815997629e+03 2.556049361199211889e-01
1.528960945050372629e+03 2.519449999891599790e-01
1.528217414776935129e+03 2.613919521591050454e-01
1.527474372784747629e+03 2.604333206671580192e-01
1.526732551495685129e+03 2.551194040723965273e-01
1.525991096417560129e+03 2.573813354895873595e-01
1.525250739972247629e+03 2.471578171146262548e-01
1.524510871808185129e+03 2.345765427479489240e-01
1.523771858136310129e+03 2.441018411035766611e-01
1.523033576886310129e+03 2.711157173075841587e-01
1.522296150128497629e+03 2.563280607716527104e-01
1.521559333722247629e+03 2.647490039079222757e-01
1.520823249737872629e+03 2.647193758722954926e-01
1.520087898175372629e+03 2.504183939549763926e-01
1.519353401105060129e+03 2.608037573518212082e-01
1.518619514386310129e+03 2.652159730736379228e-01
1.517886360089435129e+03 2.511155274763169909e-01
1.517154304425372629e+03 2.404055708071954900e-01
1.516422737042560129e+03 2.547713992106898084e-01
1.515691780011310129e+03 2.560393931753194852e-01
1.515448493878497629e+03 2.945884284147723409e-01
1.515205207745685129e+03 2.583635517385680647e-01
1.514961799542560129e+03 2.626368367453318919e-01
1.514961677472247629e+03 2.568040400105648380e-01
1.514718635480060129e+03 2.660231533255035807e-01
1.514475593487872629e+03 2.723629296576456915e-01
1.514232307355060129e+03 2.520848940994899756e-01
1.513503669659747629e+03 2.572547244422049295e-01
1.512775764386310129e+03 2.432045052303098698e-01
1.512048591534747629e+03 2.614707120027944809e-01
1.511322273175372629e+03 2.539894522602077487e-01
1.510596565167560129e+03 2.726526607479167197e-01
1.509871589581622629e+03 2.704828032601844234e-01
1.509147346417560129e+03 2.559385932392610474e-01
1.508423835675372629e+03 2.569676141580106155e-01
1.507701057355060129e+03 2.483468843527733005e-01
1.506979011456622629e+03 2.525576061603866385e-01
1.506257697980060129e+03 2.706026432180373420e-01
1.505537116925372629e+03 2.540615823150667030e-01
1.504817390362872629e+03 2.516126131690863410e-01
1.504098152081622629e+03 2.555802958956772675e-01
1.503379768292560129e+03 2.646931822022426384e-01
1.502661328035210317e+03 2.457394142722805763e-01
1.501943509893932969e+03 2.672787591965339882e-01
1.501226547170937692e+03 2.483061429965122413e-01
1.500510195461001103e+03 2.501920305354010665e-01
1.499794576966734894e+03 2.624602451737188535e-01
1.499079691688139064e+03 2.600667369037428789e-01
1.498365417422601695e+03 2.426791366080911783e-01
1.497651998575346397e+03 2.608805526604356939e-01
1.496939190741150014e+03 2.785978378204274630e-01
