# Wavelength, Reflectance
1.644296466743996007e+03 2.785118552237009770e-01
1.643430377876808507e+03 2.493984302709538470e-01
1.642565143501808507e+03 2.548495018484432384e-01
1.641700885689308507e+03 2.502890234367991518e-01
1.640837482368996007e+03 2.212953686873279924e-01
1.639975177681496007e+03 2.650215157468664984e-01
1.639113727486183507e+03 2.520359376248900718e-01
1.638253253853371007e+03 2.768275228823718348e-01
1.637393634712746007e+03 2.515905807766828928e-01
1.636535114204933507e+03 2.579255887925820390e-01
1.635677448189308507e+03 2.743171797466713580e-01
1.634820758736183507e+03 2.592449199458040643e-01
1.633965045845558507e+03 2.787595319184742459e-01
1.633110187447121007e+03 2.781846908622352954e-01
1.632256305611183507e+03 2.762447825889131625e-01
1.631403278267433507e+03 2.855340717093107217e-01
1.630551227486183507e+03 2.581997103122878889e-01
1.629700153267433507e+03 2.684139948529144504e-01
1.628849933540871007e+03 2.740123589919031821e-01
1.628000690376808507e+03 2.595431603689437594e-01
1.627152301704933507e+03 2.586159462311459212e-01
1.626304889595558507e+03 2.533087689539210152e-01
1.625458454048683507e+03 2.667553704308206486e-01
1.624612995064308507e+03 2.643065112859968591e-01
1.623768268501808507e+03 2.542993539984744200e-01
1.622924640572121007e+03 2.673784740487671341e-01
1.622081745064308507e+03 2.500589835022820617e-01
1.621239948189308507e+03 2.716039834417470211e-01
1.620398883736183507e+03 2.634970502068515463e-01
1.619558917915871007e+03 2.495134512129451587e-01
1.618719684517433507e+03 2.690369366244039773e-01
1.617881427681496007e+03 2.456667350606262790e-01
1.617044025337746007e+03 2.424744328270455329e-01
1.616207599556496007e+03 2.613102918148260678e-01
1.615372028267433507e+03 2.673904148822190963e-01
1.614537433540871007e+03 2.752772569230075295e-01
1.613703815376808507e+03 2.487496442107089700e-01
1.612870929634621007e+03 2.435619577101355848e-01
1.612039020454933507e+03 2.656858149817756809e-01
1.611207965767433507e+03 2.659677732576601339e-01
1.610377887642433507e+03 2.612236098922678940e-01
1.609548664009621007e+03 2.646015027079047788e-01
1.608720294868996007e+03 2.662567809822941611e-01
1.607892902290871007e+03 2.510908422501506587e-01
1.607066242134621007e+03 2.598552536984760630e-01
1.606240558540871007e+03 2.656416535100578624e-01
1.605415851509621007e+03 2.553341158467651306e-01
1.604591998970558507e+03 2.500478284681884600e-01
1.603768878853371007e+03 2.659273351971785382e-01
1.602946735298683507e+03 2.463182327218652323e-01
1.602125568306496007e+03 2.583406687784139955e-01
1.601305133736183507e+03 2.612671025478233711e-01
1.600485675728371007e+03 2.601751812721419532e-01
1.599667072212746007e+03 2.589690186985160736e-01
1.598849323189308507e+03 2.597813566836467136e-01
1.598032428658058507e+03 2.578455812612679421e-01
1.597216266548683507e+03 2.549524362638165842e-01
1.596401447212746007e+03 2.597752394422955247e-01
1.595587116158058507e+03 2.685454697710596417e-01
1.594773639595558507e+03 2.571293544208214099e-01
1.593961261665871007e+03 2.578585689751814458e-01
