# Wavelength, Reflectance
1.644663229915814554e+03 2.989591089764155329e-01
1.643797141048627054e+03 3.437788220669721340e-01
1.642931906673627054e+03 3.665111440296479617e-01
1.642067648861127054e+03 3.773620087811752621e-01
1.641204245540814554e+03 3.383894089076798783e-01
1.640341940853314554e+03 3.646031316033329084e-01
1.639480490658002054e+03 3.627626987158893423e-01
1.638620017025189554e+03 3.975363804903954690e-01
1.637760397884564554e+03 3.793433658916410822e-01
1.636901877376752054e+03 3.908433323447668695e-01
1.636044211361127054e+03 3.808363133136360434e-01
1.635187521908002054e+03 3.870018017127765941e-01
1.634331809017377054e+03 3.607754963333363873e-01
1.633476950618939554e+03 4.111094050102028774e-01
1.632623068783002054e+03 3.611697016472377175e-01
1.631770041439252054e+03 3.779241292174794764e-01
1.630917990658002054e+03 4.014106018753146321e-01
1.630066916439252054e+03 3.989323822593232038e-01
1.629216696712689554e+03 3.711615489825447201e-01
1.628367453548627054e+03 3.910839128175971902e-01
1.627519064876752054e+03 3.510747401081364960e-01
1.626671652767377054e+03 3.869916988752065135e-01
1.625825217220502054e+03 3.937583528086816553e-01
1.624979758236127054e+03 3.923418093133407836e-01
1.624135031673627054e+03 3.915384120941858836e-01
1.623291403743939554e+03 3.892762849524973867e-01
1.622448508236127054e+03 3.955759372494370707e-01
1.621606711361127054e+03 3.993630855414050385e-01
1.620765646908002054e+03 4.087541952187833116e-01
1.619925681087689554e+03 4.084956189716239527e-01
1.619086447689252054e+03 3.647126831487711440e-01
1.618248190853314554e+03 3.824854807628180753e-01
1.617410788509564554e+03 3.990783595660882810e-01
1.616574362728314554e+03 3.828631619271243292e-01
1.615738791439252054e+03 3.867924736330665691e-01
1.614904196712689554e+03 3.793704844003176757e-01
1.614070578548627054e+03 3.474888940650004421e-01
1.613237692806439554e+03 3.663733891984041202e-01
1.612405783626752054e+03 3.748597779304538857e-01
1.611574728939252054e+03 3.196757599951784989e-01
1.610744650814252054e+03 3.151994967428503602e-01
1.609915427181439554e+03 2.959939571425899141e-01
1.609087058040814554e+03 2.785587098595538325e-01
1.608259665462689554e+03 3.360610284329782482e-01
1.607433005306439554e+03 3.424591429471872672e-01
1.606607321712689554e+03 3.595883672230436034e-01
1.605782614681439554e+03 3.512631978019506440e-01
1.604958762142377054e+03 3.369420654062971199e-01
1.604135642025189554e+03 3.487093560587037899e-01
1.603313498470502054e+03 3.436588919220476268e-01
1.602492331478314554e+03 3.549779585761427270e-01
1.601671896908002054e+03 3.805362173989382812e-01
1.600852438900189554e+03 3.613001524270377240e-01
1.600033835384564554e+03 3.540112596080123297e-01
1.599216086361127054e+03 3.703340907326486686e-01
1.598399191829877054e+03 3.759443609255386787e-01
1.597583029720502054e+03 3.582943976888891546e-01
1.596768210384564554e+03 3.619162193655756088e-01
1.595953879329877054e+03 3.613455582736889160e-01
1.595140402767377054e+03 3.628350507164375682e-01
1.594328024837689554e+03 3.535438801923170837e-01
1.593516257259564554e+03 3.527539090836142588e-01
1.592705466243939554e+03 3.531453320119726236e-01
1.591895651790814554e+03 3.426188014760391254e-01
1.591086569759564554e+03 3.390676677946546369e-01
1.590278464290814554e+03 3.565664957897163867e-01
1.589470969173627054e+03 3.276337967633549120e-01
1.588664328548627054e+03 3.602156007399174298e-01
1.587858908626752054e+03 3.452338226579975689e-01
1.587054099056439554e+03 3.644286757485145078e-01
1.586250143978314554e+03 3.620304562343132360e-01
1.585447165462689554e+03 3.420842938367296138e-01
1.584644919368939554e+03 3.463333284295953551e-01
1.583843527767377054e+03 3.466864014099243496e-01
1.583043112728314554e+03 3.240869516744406820e-01
1.582243430111127054e+03 3.442203412144830277e-01
1.581444724056439554e+03 3.369860465940979211e-01
1.580646628353314554e+03 3.172451052744978406e-01
1.579849387142377054e+03 3.050454958409679618e-01
1.579053244564252054e+03 2.759694703391257775e-01
1.578257712337689554e+03 2.585603426166684926e-01
1.577463156673627054e+03 2.636023294923313109e-01
1.576669455501752054e+03 2.815896459649448458e-01
1.575876486751752054e+03 3.263359233629477552e-01
1.575084250423627054e+03 3.210555379578269308e-01
1.574292990658002054e+03 3.009570101664857389e-01
1.573502585384564554e+03 3.072568397385360139e-01
1.572713034603314554e+03 3.155117322737762131e-01
1.571924216243939554e+03 3.000301597582516466e-01
1.571136130306439554e+03 3.252239429554388828e-01
1.570349143001752054e+03 3.126270691492116227e-01
1.569562766048627054e+03 3.117154752846218457e-01
1.568777487728314554e+03 3.151802874310189462e-01
1.567992697689252054e+03 3.211895493657183076e-01
1.567208884212689554e+03 3.139382444452258891e-01
1.566425925228314554e+03 3.184605876870307828e-01
1.565643698665814554e+03 3.120151212983426903e-01
1.564862326595502054e+03 3.177611416914076226e-01
1.564081809017377054e+03 3.171245642037888168e-01
