# Wavelength, Reflectance
1.644356338657480364e+03 5.759158061103271109e-01
1.643490249790292864e+03 5.902405023664515360e-01
1.642625015415292864e+03 5.878263282060188777e-01
1.641760757602792864e+03 6.136449015728250300e-01
1.640897354282480364e+03 5.900114279804322681e-01
1.640035049594980364e+03 5.803738123210891997e-01
1.639173599399667864e+03 5.796120369907283854e-01
1.638313125766855364e+03 5.954720655082159642e-01
1.637453506626230364e+03 5.961915785707232462e-01
1.636594986118417864e+03 5.872539594209462699e-01
1.635737320102792864e+03 5.894377283009666346e-01
1.634880630649667864e+03 5.695277503843099165e-01
1.634024917759042864e+03 5.703666318799420765e-01
1.633170059360605364e+03 5.922925575201078985e-01
1.632316177524667864e+03 6.121777471498179857e-01
1.631463150180917864e+03 6.034858004404145548e-01
1.630611099399667864e+03 6.026701314744423721e-01
1.629760025180917864e+03 5.927682327915539950e-01
1.628909805454355364e+03 6.105939654191766541e-01
1.628060562290292864e+03 5.914305729775315434e-01
1.627212173618417864e+03 6.024808491701515445e-01
1.626364761509042864e+03 6.097434210868822868e-01
1.625518325962167864e+03 6.081554922746957859e-01
1.624672866977792864e+03 6.057928128918427246e-01
1.623828140415292864e+03 6.065540855363465989e-01
1.622984512485605364e+03 5.990405722038881775e-01
1.622141616977792864e+03 5.930351547296744963e-01
1.621299820102792864e+03 5.958991389101577774e-01
1.620458755649667864e+03 5.950437523507182691e-01
1.619618789829355364e+03 5.902333872254831304e-01
1.618779556430917864e+03 5.848186303310821677e-01
1.617941299594980364e+03 5.752613557538707179e-01
1.617103897251230364e+03 5.593719317733376606e-01
1.616267471469980364e+03 5.677663945622601904e-01
1.615431900180917864e+03 5.733012776901025287e-01
1.614597305454355364e+03 5.560539509268868086e-01
1.613763687290292864e+03 5.375205394053139685e-01
1.612930801548105364e+03 5.220995724579380326e-01
1.612098892368417864e+03 4.750809284912994035e-01
1.611267837680917864e+03 4.127510025984817421e-01
1.610437759555917864e+03 3.211258062985946071e-01
