# Wavelength, Reflectance
1.644625347196230678e+03 1.552502770200249738e-01
1.643759258329043178e+03 1.886768714993603546e-01
1.642894023954043178e+03 9.800351230841682082e-02
1.642029766141543178e+03 1.420322277948357081e-01
1.641166362821230678e+03 1.525955260770056887e-01
1.640304058133730678e+03 1.314524404520867329e-01
1.639442607938418178e+03 1.393346910921774984e-01
1.638582134305605678e+03 1.961712314382703937e-01
1.637722515164980678e+03 2.046991437072119002e-01
1.636863994657168178e+03 2.349883046694910271e-01
1.636006328641543178e+03 2.104894812149672167e-01
1.635149639188418178e+03 1.829659781372520999e-01
1.634293926297793178e+03 1.654541643377193672e-01
1.633439067899355678e+03 1.498851710513592062e-01
1.632585186063418178e+03 2.368712425794616550e-01
1.631732158719668178e+03 1.194680151461464668e-01
1.630880107938418178e+03 1.982867475692298154e-01
1.630029033719668178e+03 1.958763820383797871e-01
1.629178813993105678e+03 1.691005932608356521e-01
1.628329570829043178e+03 1.678022861381841258e-01
1.627481182157168178e+03 1.847867991223492434e-01
1.626633770047793178e+03 1.963927042465368200e-01
1.625787334500918178e+03 1.849723401403543521e-01
1.624941875516543178e+03 1.754087861052542052e-01
1.624097148954043178e+03 1.693364195522975568e-01
1.623253521024355678e+03 2.145697361832600569e-01
1.622410625516543178e+03 1.714430609731996680e-01
1.621568828641543178e+03 1.666747252515200506e-01
1.620727764188418178e+03 1.455663449556356681e-01
1.619887798368105678e+03 2.275895450948443310e-01
1.619048564969668178e+03 1.791740004318888579e-01
1.618210308133730678e+03 1.462267199473759882e-01
1.617372905789980678e+03 1.104748235304585519e-01
1.616536480008730678e+03 1.652592282031374871e-01
1.615700908719668178e+03 2.330107924488162285e-01
1.614866313993105678e+03 2.097546248316898287e-01
1.614032695829043178e+03 1.756494538004439443e-01
1.613199810086855678e+03 1.901424860525727512e-01
1.612367900907168178e+03 1.762549437049245604e-01
1.611536846219668178e+03 2.150462750935468181e-01
1.610706768094668178e+03 1.735015873179372725e-01
1.609877544461855678e+03 1.793425609230895612e-01
1.609049175321230678e+03 1.968867247477568694e-01
1.608221782743105678e+03 1.630049062530918580e-01
1.607395122586855678e+03 1.360712898971048190e-01
1.606569438993105678e+03 1.720649396357711303e-01
1.605744731961855678e+03 1.645224511821282432e-01
1.604920879422793178e+03 1.572808374168496726e-01
1.604097759305605678e+03 1.774056187084466496e-01
1.603275615750918178e+03 1.581883796612777726e-01
1.602454448758730678e+03 1.793158115062954694e-01
1.601634014188418178e+03 1.633968895927590537e-01
1.600814556180605678e+03 1.882523868417919910e-01
1.599995952664980678e+03 1.941655070301153418e-01
1.599178203641543178e+03 1.761312726241275883e-01
1.598361309110293178e+03 1.903928317746097498e-01
1.597545147000918178e+03 1.595724714512448961e-01
1.596730327664980678e+03 1.873699034056021118e-01
1.595915996610293178e+03 2.115304958649832090e-01
1.595102520047793178e+03 1.609437232827172493e-01
1.594290142118105678e+03 1.911730634343165591e-01
1.593478374539980678e+03 1.829276657132807293e-01
