# Wavelength, Reflectance
1.644468640028821255e+03 2.858881183325588382e-01
1.643602551161633755e+03 2.884344587926385706e-01
1.642737316786633755e+03 2.932774805658162065e-01
1.641873058974133755e+03 2.946420236922560609e-01
1.641009655653821255e+03 2.885530615621577644e-01
1.640147350966321255e+03 2.969364138844442502e-01
1.639285900771008755e+03 2.911716604818496701e-01
1.638425427138196255e+03 2.761443230739902832e-01
1.637565807997571255e+03 2.825491697728540474e-01
1.636707287489758755e+03 2.786282119272225355e-01
1.635849621474133755e+03 2.925389957651814976e-01
1.634992932021008755e+03 2.847303424921959758e-01
1.634137219130383755e+03 2.896234156117763470e-01
1.633282360731946255e+03 2.849291431132811026e-01
1.632428478896008755e+03 2.805126939209824366e-01
1.631575451552258755e+03 2.802993839107932872e-01
1.630723400771008755e+03 2.795554118052948067e-01
1.629872326552258755e+03 2.733711188509134193e-01
1.629022106825696255e+03 2.692641107077928808e-01
1.628172863661633755e+03 2.631315605978905015e-01
1.627324474989758755e+03 2.729984180061146293e-01
1.626477062880383755e+03 2.777044655375106585e-01
1.625630627333508755e+03 2.710359835131068151e-01
1.624785168349133755e+03 2.651660135753893810e-01
1.623940441786633755e+03 2.634414770648158544e-01
1.623096813856946255e+03 2.702982220416553782e-01
1.622253918349133755e+03 2.664425527977726249e-01
1.621412121474133755e+03 2.660181934716194796e-01
1.620571057021008755e+03 2.701300935907053336e-01
1.619731091200696255e+03 2.662443435880383347e-01
1.618891857802258755e+03 2.663009211743993521e-01
1.618053600966321255e+03 2.695633670746958033e-01
1.617216198622571255e+03 2.667529029310168887e-01
1.616379772841321255e+03 2.650163374703998209e-01
1.615544201552258755e+03 2.631499372854813057e-01
1.614709606825696255e+03 2.619973996574367359e-01
1.613875988661633755e+03 2.629154215281812590e-01
1.613043102919446255e+03 2.646431796542437764e-01
1.612211193739758755e+03 2.601596227942840622e-01
1.611380139052258755e+03 2.626716350239020614e-01
1.610550060927258755e+03 2.593427188351956070e-01
1.609720837294446255e+03 2.616791401297324793e-01
1.608892468153821255e+03 2.645940906629993261e-01
1.608065075575696255e+03 2.636919458577204889e-01
1.607238415419446255e+03 2.642196717424002972e-01
1.606412731825696255e+03 2.616835756911035094e-01
1.605588024794446255e+03 2.604749565019855440e-01
1.604764172255383755e+03 2.635650784946176883e-01
1.603941052138196255e+03 2.639013246263122170e-01
1.603118908583508755e+03 2.636090373129939546e-01
1.602297741591321255e+03 2.613124859028861380e-01
1.601477307021008755e+03 2.618736266846325988e-01
1.600657849013196255e+03 2.566138505503923195e-01
1.599839245497571255e+03 2.606373754781152741e-01
1.599021496474133755e+03 2.671102340824985655e-01
1.598204601942883755e+03 2.595366048076629961e-01
1.597388439833508755e+03 2.613095376964336136e-01
1.596573620497571255e+03 2.564772155565449019e-01
1.595759289442883755e+03 2.572564269058807418e-01
1.594945812880383755e+03 2.602299978017528770e-01
1.594133434950696255e+03 2.610514255436606201e-01
1.593321667372571255e+03 2.648171663029398326e-01
1.592510876356946255e+03 2.570718931243063388e-01
1.591701061903821255e+03 2.620293605343017584e-01
1.590891979872571255e+03 2.581341693635777479e-01
1.590083874403821255e+03 2.613070223783008905e-01
1.589276379286633755e+03 2.514661327218219444e-01
1.588469738661633755e+03 2.542058948673138197e-01
1.587664318739758755e+03 2.584874887321662040e-01
1.586859509169446255e+03 2.572544138877800868e-01
1.586055554091321255e+03 2.607653950495144590e-01
1.585252575575696255e+03 2.565107236492071285e-01
1.584450329481946255e+03 2.603765730353752028e-01
1.583648937880383755e+03 2.583847451939163542e-01
1.582848522841321255e+03 2.572799238058943172e-01
1.582048840224133755e+03 2.538049023855535324e-01
1.581250134169446255e+03 2.633251346715581032e-01
1.580452038466321255e+03 2.605513341911743774e-01
1.579654797255383755e+03 2.604465245933401119e-01
1.578858654677258755e+03 2.613936122521469119e-01
1.578063122450696255e+03 2.682010153997629320e-01
1.577268566786633755e+03 2.568443109479737196e-01
1.576474865614758755e+03 2.580433376481700569e-01
