# Wavelength, Reflectance
1.644521242447113991e+03 5.636857836552829903e-01
1.643655153579926491e+03 5.712854538206036947e-01
1.642789919204926491e+03 5.741661587260807886e-01
1.641925661392426491e+03 5.711405066602885938e-01
1.641062258072113991e+03 5.767856646548444877e-01
1.640199953384613991e+03 5.688566212195993455e-01
1.639338503189301491e+03 5.565746868046824725e-01
1.638478029556488991e+03 5.523319584890771239e-01
1.637618410415863991e+03 5.488748179765289281e-01
1.636759889908051491e+03 5.450880178102657236e-01
1.635902223892426491e+03 5.434238635794029770e-01
1.635045534439301491e+03 5.363032353983394618e-01
1.634189821548676491e+03 5.349916895295115937e-01
1.633334963150238991e+03 5.304811103543142226e-01
1.632481081314301491e+03 5.171383887085895248e-01
1.631628053970551491e+03 5.107725294123157678e-01
1.630776003189301491e+03 5.128388773769152476e-01
1.629924928970551491e+03 5.039516977800697628e-01
1.629074709243988991e+03 4.959109929317144783e-01
1.628225466079926491e+03 4.915142252235838449e-01
1.627377077408051491e+03 4.937878863452530021e-01
1.626529665298676491e+03 5.020563584823805048e-01
1.625683229751801491e+03 4.928568673600071115e-01
1.624837770767426491e+03 4.895954514742103525e-01
1.623993044204926491e+03 4.932965682748183256e-01
1.623149416275238991e+03 4.908160578892462600e-01
1.622306520767426491e+03 4.949560762100664313e-01
1.621464723892426491e+03 4.880210919059886354e-01
1.620623659439301491e+03 4.805274559947229629e-01
1.619783693618988991e+03 4.791986694294861349e-01
1.618944460220551491e+03 4.808450543166227220e-01
1.618106203384613991e+03 4.754583255195432012e-01
1.617268801040863991e+03 4.765617484453438246e-01
1.616432375259613991e+03 4.777444536104609174e-01
1.615596803970551491e+03 4.696232402747955170e-01
1.614762209243988991e+03 4.768940690568944096e-01
1.613928591079926491e+03 4.762287334615218359e-01
1.613095705337738991e+03 4.748751855280966550e-01
1.612263796158051491e+03 4.688143114244051057e-01
1.611432741470551491e+03 4.679495168236088576e-01
1.610602663345551491e+03 4.767536014108795794e-01
1.609773439712738991e+03 4.664339076969206133e-01
1.608945070572113991e+03 4.677462282811999938e-01
1.608117677993988991e+03 4.648995416623451504e-01
1.607291017837738991e+03 4.729662737572093989e-01
1.606465334243988991e+03 4.678333736418471278e-01
1.605640627212738991e+03 4.740997904591035539e-01
1.604816774673676491e+03 4.675937930590151059e-01
1.603993654556488991e+03 4.593347624495364712e-01
1.603171511001801491e+03 4.656051039109777578e-01
1.602350344009613991e+03 4.625413190698643984e-01
1.601529909439301491e+03 4.688171377432991949e-01
1.600710451431488991e+03 4.576247912704333731e-01
1.599891847915863991e+03 4.633739034571300319e-01
1.599074098892426491e+03 4.685620303092605798e-01
1.598257204361176491e+03 4.660532983113456207e-01
1.597441042251801491e+03 4.769641704734519094e-01
1.596626222915863991e+03 4.560324336843608606e-01
1.595811891861176491e+03 4.594985509815873170e-01
1.594998415298676491e+03 4.637827573774225276e-01
1.594186037368988991e+03 4.651926468397863390e-01
1.593374269790863991e+03 4.629109797746964183e-01
1.592563478775238991e+03 4.582597993693395266e-01
1.591753664322113991e+03 4.641926808182116893e-01
1.590944582290863991e+03 4.637245916605087781e-01
1.590136476822113991e+03 4.679969868288688661e-01
1.589328981704926491e+03 4.552028125070093356e-01
1.588522341079926491e+03 4.522551901804416907e-01
1.587716921158051491e+03 4.608318650875330436e-01
1.586912111587738991e+03 4.579869654302580195e-01
1.586108156509613991e+03 4.619158554731288002e-01
1.585305177993988991e+03 4.644222885015745761e-01
1.584502931900238991e+03 4.662912923774961138e-01
1.583701540298676491e+03 4.621700599316890812e-01
1.582901125259613991e+03 4.677861185138092459e-01
1.582101442642426491e+03 4.605977454112807901e-01
1.581302736587738991e+03 4.691571101623200901e-01
1.580504640884613991e+03 4.643892411160803202e-01
1.579707399673676491e+03 4.616249286190309831e-01
1.578911257095551491e+03 4.671817941213353143e-01
1.578115724868988991e+03 4.721921426128873889e-01
1.577321169204926491e+03 4.683902290555438941e-01
1.576527468033051491e+03 4.566597027559596844e-01
1.575734499283051491e+03 4.673833852884781703e-01
1.574942262954926491e+03 4.655452582551958818e-01
1.574151003189301491e+03 4.614473671683174127e-01
1.573360597915863991e+03 4.660590488982722657e-01
1.572571047134613991e+03 4.563404238973325366e-01
1.571782228775238991e+03 4.578600157626652178e-01
1.570994142837738991e+03 4.634715996464863208e-01
1.570207155533051491e+03 4.694357715516309648e-01
1.569420778579926491e+03 4.540749363504621994e-01
1.568635500259613991e+03 4.619943969367648617e-01
1.567850710220551491e+03 4.594738204822604866e-01
1.567066896743988991e+03 4.597195626247725930e-01
1.566283937759613991e+03 4.628521192795241879e-01
1.565501711197113991e+03 4.654988220996728598e-01
1.564720339126801491e+03 4.589665031965708963e-01
1.563939821548676491e+03 4.600522735480885861e-01
1.563160158462738991e+03 4.638529320751797469e-01
1.562381105728363991e+03 4.520605941846116971e-01
1.561603029556488991e+03 4.615952431123125921e-01
1.560825807876801491e+03 4.557074748399710384e-01
1.560049318618988991e+03 4.623889855925812364e-01
1.559273561783051491e+03 4.497871120402222034e-01
1.558498659439301491e+03 4.591176380830162551e-01
1.557724733658051491e+03 4.573244876076411058e-01
1.556951418228363991e+03 4.583043292129992952e-01
1.556178957290863991e+03 4.554349272277892768e-01
1.555407228775238991e+03 4.559930072260586220e-01
1.554636476822113991e+03 4.544832289804389691e-01
1.553866335220551491e+03 4.566539669416509462e-01
1.553097170181488991e+03 4.573003143185565555e-01
1.553097048111176491e+03 4.553806550994607405e-01
1.552840944595551491e+03 4.586307719488219026e-01
1.552584719009613991e+03 4.571026272243843835e-01
1.552328737564301491e+03 4.554775002616917035e-01
1.552328615493988991e+03 4.567542921326745997e-01
1.552072756118988991e+03 4.549620454773216083e-01
1.551561037368988991e+03 4.551800662049702018e-01
1.550794191665863991e+03 4.576618801262214986e-01
1.550028078384613991e+03 4.516129111919605643e-01
1.549262819595551491e+03 4.566877344763936031e-01
1.548498415298676491e+03 4.551487727301215536e-01
1.547734621353363991e+03 4.556031891353290453e-01
1.546971681900238991e+03 4.509173768607714905e-01
1.546209596939301491e+03 4.577468860366817327e-01
1.545448366470551491e+03 4.539040595253538979e-01
1.544687746353363991e+03 4.534479755154003366e-01
1.543927858658051491e+03 4.499180729940107093e-01
1.543168947525238991e+03 4.552073521650368271e-01
