# Wavelength, Reflectance
1.644401702045486218e+03 2.681047650136311744e-01
1.643535613178298718e+03 2.497369124744500957e-01
1.642670378803298718e+03 2.532072496519049976e-01
1.641806120990798718e+03 2.099871709682924470e-01
1.640942717670486218e+03 2.483755394576010189e-01
1.640080412982986218e+03 2.642248069423339674e-01
1.639218962787673718e+03 2.364525511388096135e-01
1.638358489154861218e+03 2.519803015478776498e-01
1.637498870014236218e+03 2.391523433241528052e-01
1.636640349506423718e+03 2.648837495764355121e-01
1.635782683490798718e+03 2.520543878454442610e-01
1.634925994037673718e+03 2.334688689284130092e-01
1.634070281147048718e+03 2.093783640629137688e-01
1.633215422748611218e+03 2.355944001450007153e-01
1.632361540912673718e+03 2.385095132533570084e-01
1.631508513568923718e+03 2.437365370710960488e-01
1.630656462787673718e+03 2.262148735271075073e-01
1.629805388568923718e+03 2.281627562351379312e-01
1.628955168842361218e+03 2.164906964930726485e-01
1.628105925678298718e+03 2.206842467727684887e-01
1.627257537006423718e+03 2.261604588755172507e-01
1.626410124897048718e+03 2.202399137374598248e-01
1.625563689350173718e+03 2.296340799884209749e-01
1.624718230365798718e+03 2.287266357661354166e-01
1.623873503803298718e+03 2.293295826811471982e-01
1.623029875873611218e+03 2.290622409801218451e-01
1.622186980365798718e+03 2.020372092514536311e-01
1.621345183490798718e+03 2.195623637502114867e-01
1.620504119037673718e+03 2.258592683332203976e-01
1.619664153217361218e+03 2.282808216997795903e-01
1.618824919818923718e+03 2.432362859949224188e-01
1.617986662982986218e+03 2.193245417216602711e-01
1.617149260639236218e+03 2.239443119522728232e-01
1.616312834857986218e+03 2.154093996391117649e-01
1.615477263568923718e+03 2.227447032416145223e-01
1.614642668842361218e+03 2.246783095777185046e-01
1.613809050678298718e+03 2.049510202706653628e-01
1.612976164936111218e+03 2.160647358012023622e-01
1.612144255756423718e+03 2.292961328647693531e-01
1.611313201068923718e+03 2.197312178780544689e-01
1.610483122943923718e+03 2.141784258263512430e-01
1.609653899311111218e+03 2.226853929775274021e-01
1.608825530170486218e+03 2.263236777628400975e-01
1.607998137592361218e+03 2.145746471968699998e-01
1.607171477436111218e+03 2.150895418146697158e-01
1.606345793842361218e+03 2.167809837884834834e-01
1.605521086811111218e+03 2.203092958816440516e-01
1.604697234272048718e+03 2.126372509093500951e-01
1.603874114154861218e+03 2.169946062732126535e-01
1.603051970600173718e+03 2.137343098714535039e-01
1.602230803607986218e+03 2.136010161992977774e-01
1.601410369037673718e+03 2.187794971763262764e-01
1.600590911029861218e+03 2.201898717206842992e-01
1.599772307514236218e+03 2.208801186974408415e-01
1.598954558490798718e+03 2.177836237453400769e-01
1.598137663959548718e+03 2.276702236863810402e-01
1.597321501850173718e+03 2.106708808641609421e-01
1.596506682514236218e+03 2.096618406179782956e-01
1.595692351459548718e+03 2.185013975835068123e-01
1.594878874897048718e+03 2.313077878904643558e-01
1.594066496967361218e+03 2.183570080955558601e-01
1.593254729389236218e+03 2.116400599135537242e-01
1.592443938373611218e+03 2.153238844279869169e-01
1.591634123920486218e+03 1.966191296640699415e-01
1.590825041889236218e+03 2.175868447492381175e-01
1.590016936420486218e+03 1.931009800629467366e-01
1.589209441303298718e+03 2.013436992326910480e-01
1.588402800678298718e+03 2.100801266038170856e-01
1.587597380756423718e+03 2.023916199944121863e-01
1.586792571186111218e+03 2.025847953145999414e-01
1.585988616107986218e+03 2.209036113066577822e-01
1.585185637592361218e+03 2.157137671333539675e-01
1.584383391498611218e+03 2.112004977849779586e-01
1.583581999897048718e+03 2.044220707460487618e-01
1.582781584857986218e+03 2.101811188199788072e-01
1.581981902240798718e+03 2.090406305447846391e-01
1.581183196186111218e+03 2.196269053797871851e-01
1.580385100482986218e+03 2.140489688642842891e-01
1.579587859272048718e+03 2.186971566682257007e-01
1.578791716693923718e+03 2.031324075710186916e-01
1.577996184467361218e+03 2.112957491095940332e-01
1.577201628803298718e+03 2.260375004984619129e-01
