# Wavelength, Reflectance
1.643883897611304064e+03 2.159949544413938549e-01
1.643017808744116564e+03 3.410247710990134684e-01
1.642152574369116564e+03 2.749053165064568316e-01
1.641288316556616564e+03 3.251270263009198302e-01
1.640424913236304064e+03 1.401464302277814211e-01
1.639562608548804064e+03 2.510035271736511531e-01
1.638701158353491564e+03 3.013719656173844963e-01
1.637840684720679064e+03 2.658764901333304786e-01
1.636981065580054064e+03 2.066612252959371676e-01
1.636122545072241564e+03 3.850089957628804460e-01
1.635264879056616564e+03 2.160836618778994578e-01
1.634408189603491564e+03 3.112153272169361773e-01
1.633552476712866564e+03 3.301575768580436998e-01
1.632697618314429064e+03 2.364237454848284181e-01
1.631843736478491564e+03 2.789263748806777854e-01
1.630990709134741564e+03 2.637157710398991828e-01
1.630138658353491564e+03 2.632926640105446858e-01
1.629287584134741564e+03 2.083207237154228453e-01
1.628437364408179064e+03 2.450532138480836508e-01
1.627588121244116564e+03 2.093884491490568545e-01
1.626739732572241564e+03 2.700591873143834420e-01
1.625892320462866564e+03 2.472369550265539895e-01
1.625045884915991564e+03 2.725450098377736885e-01
1.624200425931616564e+03 2.437032275797565706e-01
1.623355699369116564e+03 2.472835067820792487e-01
1.622512071439429064e+03 2.796472473833088168e-01
1.621669175931616564e+03 2.677410812158670383e-01
1.620827379056616564e+03 2.330449243527023817e-01
1.619986314603491564e+03 2.244857811471566156e-01
1.619146348783179064e+03 2.689159004655632401e-01
1.618307115384741564e+03 2.605893885402364996e-01
1.617468858548804064e+03 2.404055798071839389e-01
1.616631456205054064e+03 2.196378041449301710e-01
1.615795030423804064e+03 1.992753846500547876e-01
1.614959459134741564e+03 2.199087717153786758e-01
1.614124864408179064e+03 2.763643119256870007e-01
1.613291246244116564e+03 2.652587089204586079e-01
1.612458360501929064e+03 2.057333454553657015e-01
1.611626451322241564e+03 2.443117595065052716e-01
1.610795396634741564e+03 2.183457195138780726e-01
1.609965318509741564e+03 2.677487141012837579e-01
1.609136094876929064e+03 2.206070177201337468e-01
1.608307725736304064e+03 2.520758077471632608e-01
1.607480333158179064e+03 2.228235584586501505e-01
1.606653673001929064e+03 2.198286409929627871e-01
1.605827989408179064e+03 2.541696782874937055e-01
1.605003282376929064e+03 2.234195715103015067e-01
1.604179429837866564e+03 2.293124932347828382e-01
1.603356309720679064e+03 2.151068013849688765e-01
1.602534166165991564e+03 2.286367734916740502e-01
1.601712999173804064e+03 2.378667357544233807e-01
1.600892564603491564e+03 2.294583868118993952e-01
1.600073106595679064e+03 2.517048858179924409e-01
1.599254503080054064e+03 2.007792152967370070e-01
1.598436754056616564e+03 2.378631384879710819e-01
1.597619859525366564e+03 2.817903935680491356e-01
1.596803697415991564e+03 2.469343171407603343e-01
1.595988878080054064e+03 2.232504696238939990e-01
1.595174547025366564e+03 2.645001938552171139e-01
1.594361070462866564e+03 2.308018369708642326e-01
1.593548692533179064e+03 2.330272268510499012e-01
1.592736924955054064e+03 2.404545842591836735e-01
1.591926133939429064e+03 2.241493486906275534e-01
1.591116319486304064e+03 2.272744284140871818e-01
1.590307237455054064e+03 2.591824633289492308e-01
1.589499131986304064e+03 2.862123800965025167e-01
1.588691636869116564e+03 2.695050778308644701e-01
1.587884996244116564e+03 2.391131918578621451e-01
1.587079576322241564e+03 2.535339319051850282e-01
1.586274766751929064e+03 2.386635568621571224e-01
1.585470811673804064e+03 2.486507431180432770e-01
1.584667833158179064e+03 2.305326548897053407e-01
1.583865587064429064e+03 2.371995487382173862e-01
1.583064195462866564e+03 2.576470949144528677e-01
1.582263780423804064e+03 2.387364827194148609e-01
1.581464097806616564e+03 2.270201521105295051e-01
1.580665391751929064e+03 2.065989627414867025e-01
1.579867296048804064e+03 2.428682911246148046e-01
1.579070054837866564e+03 2.379986007495039912e-01
1.578273912259741564e+03 2.520859177280006524e-01
1.577478380033179064e+03 2.450631444509147050e-01
1.576683824369116564e+03 2.114308003984003703e-01
1.575890123197241564e+03 2.618720769537098425e-01
1.575097154447241564e+03 2.237956643655106270e-01
1.574304918119116564e+03 2.342135103274545771e-01
1.573513658353491564e+03 2.512815254217612426e-01
1.572723253080054064e+03 2.256189805387693592e-01
1.571933702298804064e+03 2.351615233135245786e-01
1.571144883939429064e+03 2.619215920551411503e-01
1.570356798001929064e+03 1.991421599153926913e-01
1.569569810697241564e+03 2.486093862569579982e-01
1.568783433744116564e+03 2.009960311973908176e-01
1.567998155423804064e+03 2.103470416249546837e-01
1.567213365384741564e+03 2.389239073116279644e-01
1.566429551908179064e+03 2.128754592864617878e-01
1.565646592923804064e+03 2.655225453856615014e-01
1.564864366361304064e+03 2.652653758905830217e-01
1.564082994290991564e+03 2.653900400493767742e-01
1.563302476712866564e+03 2.665740647955967546e-01
1.562522813626929064e+03 2.461037999801202469e-01
1.561743760892554064e+03 2.399266609828556163e-01
1.560965684720679064e+03 2.060180467825470096e-01
1.560188463040991564e+03 2.922163845658956594e-01
1.559411973783179064e+03 2.299326489709912769e-01
1.558636216947241564e+03 2.254288944346415080e-01
1.557861314603491564e+03 2.500124380209147179e-01
1.557087388822241564e+03 2.252700134654317399e-01
1.556314073392554064e+03 2.207388714664245133e-01
