"","Number","RCO2","BDCO2","RH2O","BDH2O"
"1",0,0.748568201132056,0.264003953613231,0.982523016889121,0.0174769831108794
"2",1,0.741178259467065,0.273056632152845,0.98924139451784,0.0107586054821596
"3",2,0.762551989954701,0.246873812305491,1.00747515703713,-0.00747515703712964
"4",3,0.778594261599625,0.227222029540459,1.02924122791159,-0.0292412279115868
"5",4,0.812873650676863,0.185229777920843,1.03277899542636,-0.0327789954263644
"6",5,0.810266400253938,0.188423659688926,1.00118186486307,-0.0011818648630666
"7",6,0.819177608481283,0.177507429610429,1.02311138161041,-0.023111381610408
"8",7,0.801099211294015,0.199653466164832,0.979894259542334,0.0201057404576663
"9",8,0.771143499511924,0.236349213097893,0.992383272811871,0.00761672718812878
"10",9,0.752488092532748,0.259202086647384,0.966321434893417,0.033678565106583
"11",10,0.737226363731645,0.277897704428736,0.98601883966016,0.0139811603398401
"12",11,0.721120856544761,0.297626950732668,0.97687666898563,0.0231233310143701
"13",12,0.717296936274372,0.302311253063894,0.977083338911835,0.0229166610881648
"14",13,0.70020496450158,0.323248918485565,0.973749251399657,0.0262507486003433
"15",14,0.692060435188778,0.333225966893747,0.978067782494803,0.0219322175051967
"16",15,0.676193190347826,0.352663341823913,0.972400458302543,0.0275995416974575
"17",16,0.662937019841463,0.368902150694208,0.973685817649155,0.026314182350845
"18",17,0.681211956098514,0.346515353779321,0.978372313632221,0.0216276863677788
"19",18,0.662550118860559,0.369376104395815,0.976588713046581,0.0234112869534193
"20",19,0.660774625422788,0.371551083857084,0.964372023677106,0.0356279763228942
"21",20,0.670098367029097,0.360129500389356,0.977926570146816,0.0220734298531837
"22",21,0.672521852916602,0.357160730177162,0.981955352662368,0.0180446473376322
"23",22,0.688116892885801,0.338056806214894,0.993229651123046,0.00677034887695449
"24",23,0.681372366655872,0.346318850846556,0.973029106821913,0.0269708931780868
"25",24,0.668336542665695,0.362287735234523,0.973021094179731,0.0269789058202687
"26",25,0.667487249337864,0.363328119561117,0.97215204304593,0.0278479569540702
"27",26,0.64951622958248,0.385342618761463,0.971447462824257,0.0285525371757431
"28",27,0.656061491501636,0.377324672910495,0.989917888548881,0.0100821114511186
"29",28,0.666667275644373,0.364332587335643,0.960491410132986,0.0395085898670142
"30",29,0.668290795450573,0.362343775573049,0.960903443427085,0.0390965565729149
"31",30,0.667480290905986,0.363336643640167,0.995705234026208,0.00429476597379186
"32",31,0.721576048407937,0.297069340700278,1.04643600821964,-0.0464360082196438
"33",32,0.799990357920506,0.20101181154738,1.03190800571713,-0.031908005717125
"34",33,0.799426215261521,0.201702886304637,0.985794361411054,0.014205638588946
"35",34,0.829246100828112,0.165173526485562,1.00799854794141,-0.00799854794141197
"36",35,0.845536083444263,0.145218297780777,0.998237177395126,0.00176282260487381
"37",36,0.870511414874368,0.1146235167789,1.01962281133048,-0.0196228113304768
"38",37,0.883603457986727,0.0985857639662598,0.978722352407917,0.0212776475920827
"39",38,0.839423826169547,0.152705812942305,0.983159356514675,0.0168406434853248
"40",39,0.843808261048318,0.14733488021581,1.00203960572771,-0.002039605727711
"41",40,0.884072814444428,0.098010802305576,1.04579315498311,-0.0457931549831072
"42",41,0.915486293525038,0.059529290431829,1.02101357620666,-0.0210135762066619
"43",42,0.962811657638577,0.00155571939274371,1.03281804267086,-0.0328180426708586
"44",43,0.967686628191677,-0.00441611953480452,1.02799695984827,-0.0279969598482666
"45",44,0.974981467408687,-0.0133522975756418,1.02358255261105,-0.02358255261105
"46",45,0.978361166180274,-0.0174924285708357,1.02481992205391,-0.0248199220539123
"47",46,0.98076818802955,-0.020441030336199,1.01062299338331,-0.0106229933833086
"48",47,0.972498930542481,-0.0103111899145395,1.01867060551287,-0.0186706055128705
"49",48,0.965057655309686,-0.00119562775436482,1.00590131086484,-0.00590131086483625
"50",49,0.986283176237692,-0.0271968908911722,1.02199536549346,-0.0219953654934617
"51",50,0.992277297253421,-0.0345396891354403,1.0349987881415,-0.0349987881414977
"52",51,0.98607747983587,-0.0269449127989408,1.0198861555672,-0.0198861555672007
"53",52,1.00127154216985,-0.0455576391580629,1.0143823464219,-0.0143823464218991
"54",53,0.985839425297865,-0.0266532959898847,1.00836947438755,-0.00836947438755442
"55",54,0.977013559497105,-0.0158416103839533,1.01077085169334,-0.0107708516933356
"56",55,0.986928373819937,-0.0279872579294226,1.0152084084735,-0.0152084084735011
"57",56,0.976581331887434,-0.0153121315621069,1.02322697011203,-0.0232269701120293
"58",57,0.974602046143995,-0.0128875065263943,1.00340706200685,-0.00340706200684915
"59",58,0.975831820330823,-0.0143939799052584,1.00426398198476,-0.00426398198476252
"60",59,0.998843352590392,-0.0425831069232301,1.0211049829277,-0.0211049829277004
"61",60,0.979738935490271,-0.0191801959755823,1.0100803080942,-0.0100803080941956
"62",61,0.976556568818553,-0.0152817968027277,1.01168194180249,-0.0116819418024883
"63",62,0.991079270135961,-0.0330721059165518,1.0118564445067,-0.0118564445067049
"64",63,0.990326479521208,-0.0321499374134803,1.00553802129586,-0.00553802129586378
"65",64,0.976947009999824,-0.0157600872497842,1.00546193988082,-0.00546193988082355
